City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sol-Iletsk,RU,80.35,few clouds,51.1631,54.9918,Raduzhnaya
5,Kulhudhuffushi,MV,81.57,scattered clouds,6.6221,73.07,Haajy Guest House 1
7,Hithadhoo,MV,82.44,broken clouds,-0.6,73.0833,Scoop Guest House
19,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
20,Kantang,TH,79.25,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
22,Atuona,PF,77.43,light rain,-9.8,-139.0333,Villa Enata
28,Victoria,HK,82.26,overcast clouds,22.2855,114.1577,Mini Central
30,Canton,CN,78.87,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
32,Cuamba,MZ,76.3,clear sky,-14.8031,36.5372,Hotel Vision
36,San Quintin,MX,75.88,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
40,Huzhou,CN,82.13,overcast clouds,30.8703,120.0933,Huzhou Plaza Hotel
41,Kapaa,US,77.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
45,Sao Filipe,CV,78.8,broken clouds,14.8961,-24.4956,Hotel Xaguate
48,Kudahuvadhoo,MV,82.22,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
49,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Margate,GB,79.11,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
56,Port Dover,CA,79.2,scattered clouds,42.7834,-80.1997,Erie Beach Hotel
57,Las Choapas,MX,82.83,broken clouds,17.9333,-94.0833,Hotel Jysmak
59,Madang,PG,76.69,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
60,Sai Buri,TH,78.82,broken clouds,6.7013,101.6168,สวนป่ารีสอร์ท
62,Ponta Do Sol,PT,79.12,scattered clouds,32.6667,-17.1,Hotel do Campo
65,Komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,Ikathouse
73,Faanui,PF,75.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
