City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,14.97,clear sky
1,Saskylakh,RU,71.9167,114.0833,49.78,71,82,7.9,broken clouds
2,Sol-Iletsk,RU,51.1631,54.9918,80.35,38,18,2.8,few clouds
3,Port Hardy,CA,50.6996,-127.4199,60.8,83,55,2.68,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,73.09,79,99,24.9,light rain
5,Kulhudhuffushi,MV,6.6221,73.07,81.57,84,31,11.77,scattered clouds
6,Mataura,NZ,-46.1927,168.8643,44.47,94,98,1.7,overcast clouds
7,Hithadhoo,MV,-0.6,73.0833,82.44,72,77,5.88,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,62.94,80,80,10.69,broken clouds
9,Tanout,NE,14.9709,8.8879,95.31,29,100,9.28,overcast clouds
10,Sitka,US,57.0531,-135.33,57.43,83,98,1.63,overcast clouds
11,Cidreira,BR,-30.1811,-50.2056,61.99,63,88,12.3,overcast clouds
12,East London,ZA,-33.0153,27.9116,65.53,72,88,8.08,overcast clouds
13,Khandyga,RU,62.6667,135.6,55.36,96,100,0.94,overcast clouds
14,Bluff,NZ,-46.6,168.3333,44.8,67,99,9.06,overcast clouds
15,Cayenne,GF,4.9333,-52.3333,91.44,20,75,5.75,broken clouds
16,Esperance,AU,-33.8667,121.9,56.79,68,95,21.94,overcast clouds
17,Albany,US,42.6001,-73.9662,75.36,69,61,5.14,broken clouds
18,Ushuaia,AR,-54.8,-68.3,40.59,84,100,4.59,overcast clouds
19,Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,3.44,scattered clouds
20,Kantang,TH,7.4054,99.5156,79.25,83,86,4.14,overcast clouds
21,Yellowknife,CA,62.456,-114.3525,59.56,82,100,13.0,overcast clouds
22,Atuona,PF,-9.8,-139.0333,77.43,77,35,22.88,light rain
23,Dudinka,RU,69.4058,86.1778,47.75,80,100,6.35,overcast clouds
24,Hobart,AU,-42.8794,147.3294,44.26,77,100,8.05,overcast clouds
25,Brazzaville,CG,-4.2658,15.2832,95.94,22,42,4.23,scattered clouds
26,Castro,BR,-24.7911,-50.0119,47.84,90,95,17.85,overcast clouds
27,Upernavik,GL,72.7868,-56.1549,40.57,86,99,9.42,overcast clouds
28,Victoria,HK,22.2855,114.1577,82.26,91,100,10.0,overcast clouds
29,Saint-Philippe,RE,-21.3585,55.7679,67.59,77,62,17.4,broken clouds
30,Canton,CN,23.1167,113.25,78.87,91,100,11.14,overcast clouds
31,Airai,TL,-8.9266,125.4092,57.36,57,13,2.39,few clouds
