,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,82.27,79,75,8.05,US,2022-08-05 17:05:39
1,Kungurtug,50.5994,97.5228,48.25,63,85,2.33,RU,2022-08-05 17:07:04
2,Vardo,70.3705,31.1107,62.58,88,75,12.66,NO,2022-08-05 17:07:04
3,Bathsheba,13.2167,-59.5167,88.41,80,20,21.85,BB,2022-08-05 17:07:05
4,Ushuaia,-54.8,-68.3,40.66,81,75,12.66,AR,2022-08-05 17:07:05
5,Butaritari,3.0707,172.7902,81.81,75,27,13.76,KI,2022-08-05 17:07:05
6,Natal,-5.795,-35.2094,84.85,58,75,11.5,BR,2022-08-05 17:04:19
7,Oranjemund,-28.55,16.4333,56.23,77,100,7.29,NA,2022-08-05 17:07:06
8,Kalaikunda,22.35,87.25,82.56,87,74,6.02,IN,2022-08-05 17:07:06
9,High Level,58.5169,-117.136,68.54,37,29,4.29,CA,2022-08-05 17:07:06
10,Beisfjord,68.3751,17.5988,57.25,77,88,2.77,NO,2022-08-05 17:07:07
11,Vestmannaeyjar,63.4427,-20.2734,52.27,91,100,15.08,IS,2022-08-05 17:03:13
12,Rikitea,-23.1203,-134.9692,70.88,63,74,21.34,PF,2022-08-05 17:07:08
13,San Policarpo,12.1791,125.5072,78.1,89,100,10.76,PH,2022-08-05 17:07:08
14,Cape Town,-33.9258,18.4232,59.34,82,30,3.0,ZA,2022-08-05 17:02:51
15,Punta Arenas,-53.15,-70.9167,42.91,61,75,4.61,CL,2022-08-05 17:07:08
16,Hermanus,-34.4187,19.2345,54.81,77,18,7.76,ZA,2022-08-05 17:07:09
17,Puerto Ayora,-0.7393,-90.3518,78.76,83,36,5.99,EC,2022-08-05 17:07:09
18,Acajutla,13.5928,-89.8275,84.61,64,88,5.14,SV,2022-08-05 17:07:09
19,Bredasdorp,-34.5322,20.0403,53.91,74,40,8.72,ZA,2022-08-05 17:07:10
20,Toamasina,-18.1667,49.3833,67.55,83,3,1.16,MG,2022-08-05 17:07:10
21,Kaitangata,-46.2817,169.8464,48.43,88,100,3.62,NZ,2022-08-05 17:07:11
22,Arroio Grande,-32.2375,-53.0869,55.69,61,42,8.28,BR,2022-08-05 17:07:11
23,Chifeng,42.2683,118.9636,75.49,56,87,1.9,CN,2022-08-05 17:07:11
24,Saint-Philippe,-21.3585,55.7679,69.39,75,44,13.33,RE,2022-08-05 17:07:12
25,Chuy,-33.6971,-53.4616,55.22,65,8,6.96,UY,2022-08-05 17:07:12
26,Tokur,53.1333,132.9,55.58,94,100,4.36,RU,2022-08-05 17:07:12
27,Port Alfred,-33.5906,26.891,58.17,88,22,1.01,ZA,2022-08-05 17:07:13
28,Auki,-8.7676,160.7034,76.14,88,31,3.36,SB,2022-08-05 17:07:13
29,Uran,18.8769,72.9397,80.56,85,100,9.71,IN,2022-08-05 17:07:13
30,Ayan,56.45,138.1667,55.02,99,100,15.17,RU,2022-08-05 17:07:14
31,Nantucket,41.2835,-70.0995,84.34,85,20,12.66,US,2022-08-05 17:06:23
32,Khovu-Aksy,51.1333,93.6,47.05,69,80,2.66,RU,2022-08-05 17:07:14
33,New Norfolk,-42.7826,147.0587,47.7,73,92,1.01,AU,2022-08-05 17:07:15
34,Bluff,-46.6,168.3333,49.68,87,81,8.57,NZ,2022-08-05 17:07:15
35,Saskylakh,71.9167,114.0833,48.83,87,21,1.9,RU,2022-08-05 17:07:16
36,Torbay,47.6666,-52.7314,86.88,64,37,1.01,CA,2022-08-05 17:07:16
