City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-08-09 19:25:38,-23.1203,-134.9692,73.49,78,96,17.07
1,Busselton,AU,2022-08-09 19:25:38,-33.65,115.3333,50.59,69,89,11.32
2,Ketchikan,US,2022-08-09 19:21:01,55.3422,-131.6461,66.67,52,0,11.5
3,Ambilobe,MG,2022-08-09 19:25:38,-13.2,49.05,69.22,71,4,4.85
4,Ponta Do Sol,PT,2022-08-09 19:25:39,32.6667,-17.1,74.03,80,18,5.41
5,Faanui,PF,2022-08-09 19:25:39,-16.4833,-151.75,75.22,74,55,6.55
6,Ushuaia,AR,2022-08-09 19:25:39,-54.8,-68.3,42.46,65,0,4.61
7,Qaanaaq,GL,2022-08-09 19:25:40,77.484,-69.3632,38.16,63,0,0.87
8,Klaksvik,FO,2022-08-09 19:25:40,62.2266,-6.589,54.52,95,100,25.7
9,Nemuro,JP,2022-08-09 19:25:40,43.3236,145.575,65.23,100,100,3.24
10,Havelock,US,2022-08-09 19:25:41,34.8791,-76.9013,91.96,75,100,4.0
11,Moose Factory,CA,2022-08-09 19:25:41,51.2585,-80.6094,77.0,44,0,20.71
12,Leningradskiy,RU,2022-08-09 19:25:41,69.3833,178.4167,48.72,58,98,6.8
13,Lorengau,PG,2022-08-09 19:25:42,-2.0226,147.2712,80.46,77,31,6.82
14,Port Alfred,ZA,2022-08-09 19:25:42,-33.5906,26.891,65.52,76,76,10.96
15,Artur Nogueira,BR,2022-08-09 19:25:42,-22.5731,-47.1725,74.21,55,100,9.37
16,Hilo,US,2022-08-09 19:25:43,19.7297,-155.09,90.28,77,100,3.44
17,Bluff,NZ,2022-08-09 19:25:43,-46.6,168.3333,36.9,79,5,2.95
18,Asau,RO,2022-08-09 19:25:43,46.4333,26.4,67.12,98,78,5.44
19,Puerto Ayora,EC,2022-08-09 19:25:44,-0.7393,-90.3518,75.16,81,82,7.0
20,Lavrentiya,RU,2022-08-09 19:25:44,65.5833,-171.0,45.72,68,100,11.5
21,Torbay,CA,2022-08-09 19:25:44,47.6666,-52.7314,56.57,92,100,16.11
22,Chapais,CA,2022-08-09 19:25:45,49.7834,-74.8492,71.38,37,0,3.65
23,Vanimo,PG,2022-08-09 19:25:45,-2.6741,141.3028,76.14,87,100,4.43
24,Chiang Mai,TH,2022-08-09 19:25:45,18.75,99.0,77.07,88,75,5.75
25,Nikolskoye,RU,2022-08-09 19:25:45,59.7035,30.7861,58.91,77,21,2.1
26,Chongwe,ZM,2022-08-09 19:25:46,-15.3292,28.682,61.41,30,0,2.91
27,Guadalupe Y Calvo,MX,2022-08-09 19:25:46,26.1,-106.9667,64.15,70,100,3.62
28,Constitucion,CL,2022-08-09 19:25:46,-35.3333,-72.4167,59.02,49,99,8.14
29,Hithadhoo,MV,2022-08-09 19:25:47,-0.6,73.0833,81.39,76,78,4.32
30,Mataura,NZ,2022-08-09 19:25:47,-46.1927,168.8643,25.41,95,5,1.45
31,Namibe,AO,2022-08-09 19:25:47,-15.1961,12.1522,64.49,87,74,4.14
32,Bandarbeyla,SO,2022-08-09 19:25:48,9.4942,50.8122,77.58,77,73,29.97
33,Cherskiy,RU,2022-08-09 19:25:48,68.75,161.3,60.94,86,99,3.51
34,Tilichiki,RU,2022-08-09 19:25:48,60.4667,166.1,54.16,91,100,8.25
35,Saskylakh,RU,2022-08-09 19:25:49,71.9167,114.0833,50.34,87,89,7.02
36,Sarakhs,IR,2022-08-09 19:25:49,36.5449,61.1577,84.65,21,0,11.68
37,Tuktoyaktuk,CA,2022-08-09 19:25:49,69.4541,-133.0374,60.8,63,100,13.8
38,Aljezur,PT,2022-08-09 19:25:50,37.3191,-8.8033,68.02,78,0,6.85
39,Coihaique,CL,2022-08-09 19:25:48,-45.5752,-72.0662,49.95,62,75,4.61
40,Barrow,US,2022-08-09 19:25:00,71.2906,-156.7887,39.22,87,100,16.11
41,Albany,US,2022-08-09 19:22:08,42.6001,-73.9662,83.68,65,85,1.01
42,Kapaa,US,2022-08-09 19:25:50,22.0752,-159.319,80.58,78,75,11.5
43,Contamana,PE,2022-08-09 19:23:10,-7.3333,-75.0167,91.62,45,95,2.06
44,Nouakchott,MR,2022-08-09 19:25:51,18.0858,-15.9785,82.33,80,22,16.24
45,Kaitangata,NZ,2022-08-09 19:25:51,-46.2817,169.8464,28.99,89,6,4.38
46,Punta Arenas,CL,2022-08-09 19:23:19,-53.15,-70.9167,41.11,87,75,8.05
47,Onokhoy,RU,2022-08-09 19:26:51,51.932,108.0747,49.75,66,23,2.46
48,Ewa Beach,US,2022-08-09 19:26:52,21.3156,-158.0072,83.57,66,40,17.27
49,Panaba,MX,2022-08-09 19:26:52,21.2833,-88.2667,95.52,40,82,13.53
50,Bredasdorp,ZA,2022-08-09 19:26:52,-34.5322,20.0403,51.55,87,61,6.55
51,Anzio,IT,2022-08-09 19:26:53,41.4853,12.6179,77.45,53,46,11.12
52,Karratha,AU,2022-08-09 19:26:53,-20.7377,116.8463,65.3,33,64,14.67
53,Palmer,US,2022-08-09 19:24:19,42.1584,-72.3287,94.91,56,75,13.8
54,Vao,NC,2022-08-09 19:26:53,-22.6667,167.4833,67.73,62,0,16.58
55,Georgetown,MY,2022-08-09 19:24:59,5.4112,100.3354,82.89,87,20,2.3
56,Kruisfontein,ZA,2022-08-09 19:26:54,-34.0033,24.7314,62.65,42,100,8.19
57,Tiarei,PF,2022-08-09 19:23:11,-17.5333,-149.3333,75.22,68,100,6.42
58,East London,ZA,2022-08-09 19:26:54,-33.0153,27.9116,64.89,82,22,10.96
59,Broken Hill,AU,2022-08-09 19:26:31,-31.95,141.4333,48.31,53,100,10.67
60,Pringsewu,ID,2022-08-09 19:26:55,-5.3582,104.9744,72.28,93,6,2.8
61,Tambovka,RU,2022-08-09 19:26:55,50.0969,128.0489,57.24,72,100,7.85
62,Kashi,CN,2022-08-09 19:26:55,39.4547,75.9797,69.01,94,40,6.71
63,Havoysund,NO,2022-08-09 19:22:16,70.9963,24.6622,53.83,85,100,20.02
64,Ahipara,NZ,2022-08-09 19:26:56,-35.1667,173.1667,49.77,73,1,0.81
65,Pevek,RU,2022-08-09 19:26:56,69.7008,170.3133,46.94,63,100,15.75
66,Dikson,RU,2022-08-09 19:26:56,73.5069,80.5464,42.21,96,100,24.54
67,Shieli,KZ,2022-08-09 19:26:57,44.1667,66.75,73.76,32,0,8.97
68,Chokurdakh,RU,2022-08-09 19:26:57,70.6333,147.9167,51.71,88,2,6.76
69,Rivers,CA,2022-08-09 19:26:57,50.0308,-100.2403,72.55,44,3,12.97
